County,Sludge (MGD),Food (tons),Food (dry tons),Fog (tons),Fog (dry tons),Green (dry tons),Manure (lbs),Sludge Mass kg/hr,Sludge Electricity (MWH),Sludge Avoided Emissions (million metric tonnes),Sludge Avoided Emissions Percentage,Food Mass kg/hr,Food Electricity (MWH),Food Avoided Emissions (million metric tonnes),Food Avoided Emissions Percentage,Fog Mass kg/hr,Fog Electricity (MWH),Fog Avoided Emissions (million metric tonnes),Fog Avoided Emissions Percentage,Green Mass kg/hr,Green Electricity (MWH),Green Avoided Emissions (million metric tonnes),Green Avoided Emissions Percentage,Manure Mass kg/hr,Manure Electricity (MWH),Manure Avoided Emissions (million metric tonnes),Manure Avoided Emissions Percentage
Atlantic,28.6747,4167.79,1041.9475,1927.14,1567.325,118397,16159645.0,4522729.005291667,75853453394.16075,16743.24464850272,171.5496377920361,431.6160469349315,6269566.54345151,1.3838906704959206,0.014179207689507384,199.5744864041096,7269001.4075717395,1.604497402179626,0.016439522563315843,35851.418744492505,1321901376.5945122,291.78524060736106,2.9896028750754207,1261.29777258567,23745863.80288526,5.241459541410138,0.05370347890789076
Bergen,91.07899999999998,18757.25,4689.3125,15687.58,12700.442,93737,32430067.5,14365473.224583333,240932134658.31458,53181.305448391104,544.8904246761384,1942.4995252568492,28216351.362989936,6.2282368543423745,0.0638139021961309,1624.6047103082192,59172162.42794728,13.061158689293496,0.1338233472263678,28384.202630577583,1046572711.6214077,231.01153828908005,2.366921498863525,2531.241985981308,47654510.106711835,10.518850304350728,0.10777510557736403
Burlington,38.341200000000015,12812.79,3203.1975,6403.09,5123.828,214810,165492825.0,6047381.745500002,101424336689.70201,22387.543434357565,229.38056797497507,1326.8916548116438,19274157.17017175,4.254413140782869,0.04359029857359498,663.1035618321918,24151888.406036172,5.3310819509336875,0.05462174130055008,65045.93241808859,2398351602.7117844,529.3916867392521,5.424095151016928,12917.098831775704,243184183.98453215,53.67840361784978,0.5499836436255101
Camden,54.125,1899.37,474.8425,3791.09,3034.94,73270,15279265.0,8536888.177083334,143177371165.48572,31603.752318253035,323.80893768701884,196.69862710616434,2857204.083131707,0.630674871531396,0.006461832700116763,392.60502073630136,14299655.731410878,3.1563841010145404,0.03234000103498505,22186.655501482015,818058851.6861061,180.57133693675806,1.8501161571389146,1192.5820716510905,22452185.409901734,4.955904001603002,0.050777704934456984
Cape May,18.4509,1030.38,257.595,52253.1,46545.255,90167,16385945.0,2910175.890375,48808339171.12722,10773.536695590852,110.38459729088989,106.7060822260274,1549990.7565020223,0.3421317458570576,0.003505448215748541,5411.327457020548,197094065.53233653,43.50486379081554,0.44574655523376583,27303.18229291836,1006713695.645982,222.21339890237013,2.276776628098055,1278.9610124610592,24078401.36658748,5.314861048325733,0.0544555435279276
Cumberland,12.1749,22444.44,5611.11,11668.07,9710.142,128487,68301720.0,1920291.1753749999,32206377389.425804,7108.961184286351,72.83771705211426,2324.3446691095887,33762955.93360145,7.4525470622333305,0.07635806416222675,1208.3445300171234,44010926.68599357,9.714596761755786,0.09953480288684208,38906.73953076183,1434556130.4298174,316.6516905826837,3.2443820756422515,5331.107663551402,100366272.93624361,22.15399546145498,0.22698765841654694
Essex,250.4139,131689.69,32922.4225,6282.93,5084.966,40659,666490.0,39496636.716625,662422243053.9825,146217.4387556172,1498.1294954468974,13637.775276558219,198099538.25444677,43.726803267798985,0.44802052528482567,650.6598004623288,23698655.527711913,5.231039189200807,0.05359671300410663,12311.822383441478,453957347.4915434,100.20267488073763,1.0266667508272298,52.02109034267912,979376.7601939891,0.21617927681916543,0.002214951606753744
Gloucester,18.1206,30811.35,7702.8375,10138.6,8495.471,81807,139357000.0,2858079.1852500006,47934593476.97554,10580.673519780805,108.40854016168858,3190.821295633561,46349218.43916672,10.230731349320497,0.10482306710369362,1049.9527215753424,38241901.29975345,8.441191279169319,0.08648761556525941,24771.71730052872,913374375.322578,201.61047305562124,2.065681076389562,10877.13707165109,204778777.13147053,45.20112151673461,0.46312624504851035
Hudson,29.1266,1739.35,434.8375,27498.21,21998.568,4129,0.0,4594005.121083333,77048868711.10643,17007.110434601916,174.2531806823967,180.12696686643832,2616487.531126182,0.577541151959931,0.005917429835655031,2847.7127441609587,103720812.80846399,22.894447995262315,0.23457426224654013,1250.289348513979,46100245.64776761,10.175775217850065,0.1042599919861687,0.0,-0.0,-0.0,-0.0
Hunterdon,6.827300000000001,113.99,28.4975,1705.15,1364.12,134938,272100017.5,1076838.7372083336,18060320852.805927,3986.481260090697,40.845094877978454,11.804796592465753,171474.06426140416,0.03784972312180556,0.00038780454018243405,176.5852172089041,6431674.787571714,1.419673062323749,0.01454583055659579,40860.146308980206,1506581483.947315,332.5499530991164,3.4072741096220946,21238.037468847353,399838607.6128341,88.25696560433353,0.9042721885689912
Mercer,43.6912,5214.92,1303.73,75836.97,65937.659,119709,34652187.5,6891212.724666667,115576741968.87698,25511.42472586155,261.3875484207126,540.0567580136986,7844754.164383561,1.7315841574029855,0.017741640956997803,7853.6714188869855,286050334.52472365,63.14031225244366,0.6469294288160211,36248.7012887527,1336549844.0902429,295.0186184435974,3.022731746348334,2704.683605919003,50919814.44190406,11.239605746450993,0.11515989494314542
Middlesex,124.1513,6134.95,1533.7375,14725.11,11780.088000000002,73388,21555987.5,19581815.522208333,328418600661.0174,72492.3221282056,742.7492021332541,635.3350017979452,9228746.473730162,2.0370748211783574,0.020871668249778253,1524.931383030822,55541810.82674258,12.259825825736188,0.12561296952598555,22222.386705920046,819376320.5614841,180.86214378483416,1.8530957355003501,1682.4948208722742,31675543.819910455,6.991789507528947,0.07163718757714085
Monmouth,49.95679999999999,2548.04,637.01,16694.960000000003,13356.801,125283,196875160.0,7879457.095333331,132151192532.83937,29169.92764549657,298.87220948254685,263.8748478767123,3832992.145807774,0.8460620098542452,0.008668668133752513,1728.9289141095892,62971910.57180792,13.89988270156438,0.14241683095865143,37936.546488223976,1398783500.9661582,308.75554531797263,3.163478947930048,15366.562866043612,289299098.8063933,63.85741678413397,0.6542768113128481
Morris,50.85379999999999,3658.87,914.7175,4436.58,3597.2050000000004,113251,56506197.5,8020936.794083332,134524035062.82443,29693.688676987993,304.2386134937295,378.9123265924657,5504003.066094602,1.214906714963424,0.012447814702494099,459.4519209246575,16734386.845171928,3.6938058908860207,0.03784637183284858,34293.174862813416,1264446335.639459,279.10310467346494,2.859662957719928,4410.439774143302,83033288.779174,18.328060303006694,0.1877875031045768
Ocean,50.491800000000005,3242.79,810.6975,8075.05,6460.118000000001,158073,46780590.0,7963840.193250001,133566433060.75694,29482.315774646984,302.0729075271208,335.8231102910959,4878097.910748653,1.0767497468388447,0.01103227199629964,836.2516249143836,30458373.452998843,6.723121697162943,0.06888444361847279,47865.58202655611,1764883538.454727,389.5653465757357,3.9914482231120463,3651.3335514018695,68741950.62816145,15.173512153781575,0.15546631305104072
Passaic,10.2265,12282.58,3070.645,4137.09,3330.346,57969,10486632.5,1612978.9735416668,27052256558.408108,5971.284491133755,61.18119355669832,1271.983143527397,18476567.349906463,4.078359963342631,0.041786475034248274,428.4367570376712,15604737.088769356,3.4444566339670764,0.035291563872613486,17553.408390410954,647223332.5152433,142.86256081461616,1.4637557460513952,818.5059890965732,15409629.79668861,3.4013903136106416,0.03485031059027297
Salem,3.6643,18.57,4.6425,930.51,763.8040000000001,118525,295397237.5,577953.2442916667,9693207227.005806,2139.595928309923,21.92208942940495,1.9231079280821917,27934.672983018467,0.006166061570066929,6.31768603490464e-05,96.36355186643834,3509801.3116636993,0.7747236203400709,0.007937742011681055,35890.17801710326,1323330495.3745832,292.1006921035792,2.992834960077656,23056.43952492212,434072813.44506943,95.8135323517671,0.981696028194335
Somerset,25.480000000000008,862.04,215.51,5879.24,4704.5380000000005,50999,100657875.0,4018843.6166666676,67402483460.44483,14877.849590190992,152.43698350605524,89.27280335616437,1296758.5082542396,0.2862354181938876,0.0029327399405111435,608.8536917123288,22175972.59952681,4.894935140566099,0.05015302398121003,15442.844874028677,569403348.944175,125.68524105961129,1.28775861741405,7856.580607476635,147912171.98384303,32.648871886530856,0.3345171299849473
Sussex,3.1844999999999994,905.14,226.285,874.9499999999999,704.763,151081,310151997.5,502276.589375,8423987777.856615,1859.4392472513034,19.051631631673192,93.73623640410958,1361593.425086126,0.3005465250150988,0.0030793701333514225,90.6097620719178,3300233.912198852,0.7284654991526638,0.0074637858519740145,45748.356760193856,1686817925.093334,372.3338085948184,3.8148955798649427,24208.082764797506,455754262.59845495,100.59931060266413,1.0307306414207391
Union,104.56629999999998,4957.16,1239.29,9689.86,8410.978,36023,40515.0,16492763.236791665,276610216101.6447,61056.580989120375,625.5797232491842,513.3631500684932,7457008.267339786,1.6459964336388246,0.016864717557774845,1003.4812379109588,36549293.761311136,8.067579520680534,0.08265962623648088,10908.009978570855,402196451.67583734,88.77741600208594,0.9096046721525199,3.162289719626168,59534.950920883224,0.013141237528437762,0.00013464382713563282
